ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,type
2018-10-13T00:00:00.000Z,1.6778322214406087E9,2.3636914996194997E9,4.461407734507542E9,1.6778322214406087E9,1.6778322214406087E9,1.7498133127705612E9,1.7498133127705612E9,1.7498133127705612E9,1.7498133127705612E9,1.7498133127705612E9,1.7498133127705612E9,0.0,0.0,0.0,3.42764553421117E9,Forecast
2018-11-10T00:00:00.000Z,1.7222792278389406E9,2.1398229467630086E9,4.1590982856344166E9,1.7222792278389406E9,1.7222792278389406E9,1.446357749803779E9,1.446357749803779E9,1.446357749803779E9,1.446357749803779E9,1.446357749803779E9,1.446357749803779E9,0.0,0.0,0.0,3.1686369776427193E9,Forecast
2018-12-08T00:00:00.000Z,1.7667262341896226E9,1.752559564828507E9,3.772027721383393E9,1.7667262341896226E9,1.7667262341896226E9,9.369915406080382E8,9.369915406080382E8,9.369915406080382E8,9.369915406080382E8,9.369915406080382E8,9.369915406080382E8,0.0,0.0,0.0,2.703717774797661E9,Forecast
2019-01-05T00:00:00.000Z,1.8111732404926543E9,1.241337865263212E9,3.306288194511673E9,1.8111732404926543E9,1.8111732404926543E9,4.183690566834761E8,4.183690566834761E8,4.183690566834761E8,4.183690566834761E8,4.183690566834761E8,4.183690566834761E8,0.0,0.0,0.0,2.2295422971761303E9,Forecast
2019-02-02T00:00:00.000Z,1.855620246846015E9,-1.409998742881401E7,1.972727397910404E9,1.855620246846015E9,1.855620246846015E9,-8.878483224783632E8,-8.878483224783632E8,-8.878483224783632E8,-8.878483224783632E8,-8.878483224783632E8,-8.878483224783632E8,0.0,0.0,0.0,9.677719243676518E8,Forecast
2019-03-02T00:00:00.000Z,1.9000672532477002E9,1.2394407370042959E8,2.1444575941953692E9,1.9000672532477002E9,1.9000672532477002E9,-7.342089053756064E8,-7.342089053756064E8,-7.342089053756064E8,-7.342089053756064E8,-7.342089053756064E8,-7.342089053756064E8,0.0,0.0,0.0,1.1658583478720937E9,Forecast
2019-03-30T00:00:00.000Z,1.9445142597440302E9,6.214267488607438E8,2.517699308270716E9,1.9445142597440302E9,1.9445142597440302E9,-3.3097332234325165E8,-3.3097332234325165E8,-3.3097332234325165E8,-3.3097332234325165E8,-3.3097332234325165E8,-3.3097332234325165E8,0.0,0.0,0.0,1.6135409374007785E9,Forecast
2019-04-27T00:00:00.000Z,1.9889612662172616E9,-1.7459514175470838E8,1.856271142924827E9,1.9889612662172616E9,1.9889612662172616E9,-1.1601630198468266E9,-1.1601630198468266E9,-1.1601630198468266E9,-1.1601630198468266E9,-1.1601630198468266E9,-1.1601630198468266E9,0.0,0.0,0.0,8.28798246370435E8,Forecast
2019-05-25T00:00:00.000Z,2.033408272667395E9,2.3735143260603192E8,2.324290251849473E9,2.033408272667395E9,2.033408272667395E9,-7.663313317951542E8,-7.663313317951542E8,-7.663313317951542E8,-7.663313317951542E8,-7.663313317951542E8,-7.663313317951542E8,0.0,0.0,0.0,1.267076940872241E9,Forecast
2019-06-22T00:00:00.000Z,2.0778552791421335E9,2.545091456243037E8,2.29886727513672E9,2.0778552791421335E9,2.0778552791421335E9,-7.475493036083815E8,-7.475493036083815E8,-7.475493036083815E8,-7.475493036083815E8,-7.475493036083815E8,-7.475493036083815E8,0.0,0.0,0.0,1.330305975533752E9,Forecast
2019-07-20T00:00:00.000Z,2.122302285625074E9,4.7595636544699854E8,2.496555493525113E9,2.122302285625074E9,2.122302285625074E9,-6.242573122194659E8,-6.242573122194659E8,-6.242573122194659E8,-6.242573122194659E8,-6.242573122194659E8,-6.242573122194659E8,0.0,0.0,0.0,1.4980449734056082E9,Forecast
2019-08-17T00:00:00.000Z,2.1667492919787154E9,1.1244012820519786E9,3.18240942444066E9,2.1667492919787154E9,2.1667492919787154E9,3717877.5505750114,3717877.5505750114,3717877.5505750114,3717877.5505750114,3717877.5505750114,3717877.5505750114,0.0,0.0,0.0,2.17046716952929E9,Forecast
2019-09-14T00:00:00.000Z,2.211196298380838E9,1.8886475112507336E9,3.9369588086885786E9,2.211196298380838E9,2.211196298380838E9,6.235720821645015E8,6.235720821645015E8,6.235720821645015E8,6.235720821645015E8,6.235720821645015E8,6.235720821645015E8,0.0,0.0,0.0,2.8347683805453396E9,Forecast
2019-10-12T00:00:00.000Z,2.255643304831442E9,3.0709757439770856E9,5.094164302834279E9,2.255643304831442E9,2.255643304831442E9,1.7576801454400415E9,1.7576801454400415E9,1.7576801454400415E9,1.7576801454400415E9,1.7576801454400415E9,1.7576801454400415E9,0.0,0.0,0.0,4.0133234502714834E9,Forecast
